nombre,descripcion
"Vacuna Óctuple (Perro)","Protección contra Distemper, Adenovirus-2, Parainfluenza, Parvovirus y serovares de Leptospira (Canicola, Icterohaemorrhagiae, Pomona, Grippotyphosa)."
"Vacuna Antirrábica","Inmunización contra el virus de la Rabia. Obligatoria por ley en muchos lugares. Aplicación anual."
"Vacuna Triple Felina (Gato)","Protección contra Rinotraqueitis viral felina, Calicivirus felino y Panleucopenia felina."
"Vacuna Leucemia Felina (Gato)","Inmunización contra el virus de la Leucemia Felina (ViLeF). Recomendada para gatos con acceso al exterior."
"Desparasitación Interna (Perro)","Tratamiento oral o inyectable para eliminar parásitos intestinales comunes (gusanos redondos, tenias, anquilostomas)."
"Desparasitación Interna (Gato)","Tratamiento oral o spot-on para eliminar parásitos intestinales comunes."
"Control Ectoparásitos (Pipeta)","Aplicación mensual de pipeta spot-on para el control de pulgas, garrapatas y/o ácaros."
"Control Ectoparásitos (Oral)","Administración de comprimido masticable (mensual o trimestral) para el control de pulgas y garrapatas."
"Profilaxis Dental (Destartraje)","Limpieza dental profesional bajo anestesia general para remover placa y sarro subgingival y supragingival."
"Esterilización (Ovariohisterectomía)","Cirugía electiva para la extirpación de ovarios y útero en hembras (perras y gatas)."
"Castración (Orquiectomía)","Cirugía electiva para la extirpación de testículos en machos (perros y gatos)."
"Antibiótico (Amoxicilina + Ác. Clavulánico)","Tratamiento para infecciones bacterianas de piel, tejidos blandos, tracto urinario o respiratorio."
"Antiinflamatorio (Meloxicam)","Manejo del dolor y la inflamación asociados a osteoartritis o post-operatorios. AINE."
"Antiinflamatorio (Carprofeno)","Manejo del dolor y la inflamación en perros, comúnmente para osteoartritis. AINE."
"Fluidoterapia Intravenosa (IV)","Administración de fluidos (Ringer Lactato, Suero Fisiológico) por vía intravenosa para corregir deshidratación y desequilibrios electrolíticos."
"Fluidoterapia Subcutánea (SC)","Administración de fluidos por vía subcutánea, comúnmente usada en pacientes con enfermedad renal crónica."
"Hemograma Completo","Análisis de sangre para evaluar glóbulos rojos, glóbulos blancos y plaquetas."
"Perfil Bioquímico","Análisis de sangre para evaluar la función de órganos vitales como hígado, riñones y páncreas."
"Urianálisis","Análisis de muestra de orina para detectar problemas renales, infecciones urinarias o diabetes."
"Examen Coproparasitario","Análisis de muestra fecal para detectar la presencia de parásitos intestinales."
"Radiografía (RX) - Dos Vistas","Toma de imágenes radiográficas en dos proyecciones (Ej. Latero-lateral y Ventro-dorsal) para diagnóstico."
"Ecografía Abdominal","Estudio por ultrasonido de los órganos internos de la cavidad abdominal."
"Corte de Uñas","Procedimiento de rutina para mantener la salud de las patas y evitar problemas de movilidad."
"Limpieza de Oídos","Procedimiento para remover exceso de cera o suciedad del canal auditivo, a menudo parte del tratamiento de otitis."
"Sutura de Herida","Cierre quirúrgico de una herida o laceración traumática."
"Tratamiento de Otitis","Limpieza y medicación tópica para infecciones del oído causadas por bacterias, levaduras o ácaros."
"Tratamiento de Dermatitis","Manejo integral que puede incluir baños medicados, antibióticos y antiinflamatorios para infecciones cutáneas."
"Tratamiento de Parvovirosis Canina","Manejo intensivo que incluye fluidoterapia, antibióticos y soporte nutricional."
"Tratamiento de Leucemia Felina","Manejo sintomático y soporte nutricional para gatos infectados con el virus de la leucemia felina."
"Tratamiento de Insuficiencia Renal","Manejo que incluye fluidoterapia, dieta especial y medicación para apoyar la función renal."
"Tratamiento de Diabetes Mellitus","Manejo que incluye insulina, dieta especial y monitoreo regular de glucosa."
